query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Vlooper,Vlooper,21b3950d-e6cb-42f5-9a85-13676ce42966,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Modlee,Modlee,63501c74-bda8-4526-b470-d53ab351a3c6,22,10,1,11,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
DJ Paternoster,DJ Paternoster,23642,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Sensorama 19-81,Sensorama 19-81,4bb6b4ca-1927-4d18-ae3d-f76f7e02e03d,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Dee Zee,Dee Zee,0e2e6204-15a6-4d7f-8dea-39a3c050b368,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Carmines,The Carmines,a06c6049-0c73-4fb4-b90f-b82e70714fec,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
csum,csum,4b20ef01-9e6d-42c6-829c-646dd2210913,20,20,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Modern Airline,The Modern Airline,24093,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Vivid Tribe of Psychics,Vivid Tribe of Psychics,7327ca04-5831-4c76-8d3d-b98f165ffd8d,23,23,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Regular Gonzales,Regular Gonzales,24286,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Malaïse,Malaïse,c2c73c6a-d6ad-47a6-a943-c2e68526afae,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
GOYMAMBA,GOYMAMBA,22684,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
